level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	4760	6388	-1	
2	1	1	0	0	0	4	4073	11	2256	-1	
3	1	1	1	0	0	4	4073	11	2256	-1	
4	1	1	1	1	0	4	4073	11	2256	-1	
5	1	1	1	1	1	4	4073	11	2256	95	 
2	1	2	0	0	0	207	498	2048	698	-1	
3	1	2	1	0	0	207	498	2048	698	-1	
4	1	2	1	1	0	892	498	682	65	-1	
5	1	2	1	1	1	892	499	48	63	85	A
5	1	2	1	1	2	968	501	45	62	95	L
5	1	2	1	1	3	1040	499	48	64	87	A
5	1	2	1	1	4	1114	500	45	62	89	B
5	1	2	1	1	5	1188	499	50	63	81	A
5	1	2	1	1	6	1283	536	37	12	88	—-
5	1	2	1	1	7	1365	498	47	63	87	A
5	1	2	1	1	8	1441	500	43	60	93	L
5	1	2	1	1	9	1512	499	62	62	90	B.
4	1	2	1	2	0	301	672	1951	88	-1	
5	1	2	1	2	1	301	702	26	36	80	z
5	1	2	1	2	2	375	680	205	80	64	głową.
5	1	2	1	2	3	631	676	147	62	65	[Was.
5	1	2	1	2	4	831	675	53	61	87	1.
5	1	2	1	2	5	934	676	202	80	78	Kurop.
5	1	2	1	2	6	1200	675	70	73	85	5,
5	1	2	1	2	7	1319	674	55	60	44	41.
5	1	2	1	2	8	1450	696	26	38	91	z
5	1	2	1	2	9	1538	672	215	63	68	Włoch
5	1	2	1	2	10	1801	672	300	84	81	pochodzi.
5	1	2	1	2	11	2150	674	102	65	81	Ein
4	1	2	1	3	0	296	766	589	76	-1	
5	1	2	1	3	1	296	766	250	76	81	Wappen.
5	1	2	1	3	2	882	798	3	3	88	-
4	1	2	1	4	0	207	850	752	63	-1	
5	1	2	1	4	1	207	850	334	63	81	ALABART
5	1	2	1	4	2	586	873	49	39	78	v.
5	1	2	1	4	3	683	850	276	62	85	Halabart.
4	1	2	1	5	0	208	930	2047	89	-1	
5	1	2	1	5	1	208	936	409	75	81	ALABASTR,
5	1	2	1	5	2	666	959	54	40	92	u.
5	1	2	1	5	3	766	959	75	40	90	m.
5	1	2	1	5	4	889	938	49	81	92	(z
5	1	2	1	5	5	985	936	202	64	89	Greek.
5	1	2	1	5	6	1234	933	408	83	62	dlo'cjó'aazgor,
5	1	2	1	5	7	1710	933	122	64	68	&nb
5	1	2	1	5	8	1900	938	106	57	69	zm”;
5	1	2	1	5	9	2072	930	42	64	73	02
5	1	2	1	5	10	2156	934	99	60	65	mi
4	1	2	1	6	0	294	1020	1961	87	-1	
5	1	2	1	6	1	294	1027	237	79	53	meer»,
5	1	2	1	6	2	577	1026	209	81	81	trudny
5	1	2	1	6	3	833	1025	75	62	90	do
5	1	2	1	6	4	954	1024	349	82	84	utrzymania
5	1	2	1	6	5	1364	1023	90	62	87	dla
5	1	2	1	6	6	1513	1024	284	81	89	ślizkości)
5	1	2	1	6	7	1865	1020	230	64	85	kamień
5	1	2	1	6	8	2157	1022	98	83	90	gi-
4	1	2	1	7	0	296	1109	1956	87	-1	
5	1	2	1	7	1	296	1134	230	62	86	psowy,
5	1	2	1	7	2	573	1113	218	82	77	mający
5	1	2	1	7	3	828	1113	372	82	68	płaszczyzny
5	1	2	1	7	4	1234	1111	246	82	73	ślniące,
5	1	2	1	7	5	1529	1112	200	83	75	dający
5	1	2	1	7	6	1774	1111	86	83	88	się
5	1	2	1	7	7	1907	1109	345	84	82	polerować.
2	1	3	0	0	0	2384	493	1989	701	-1	
3	1	3	1	0	0	2384	493	1989	701	-1	
4	1	3	1	1	0	3031	493	1333	69	-1	
5	1	3	1	1	1	3031	495	52	65	87	A
5	1	3	1	1	2	3109	497	48	63	91	L
5	1	3	1	1	3	3183	496	46	62	93	B
5	1	3	1	1	4	3260	494	48	65	91	0
5	1	3	1	1	5	3355	532	37	14	84	—-
5	1	3	1	1	6	3436	495	51	65	79	A
5	1	3	1	1	7	3513	497	47	65	85	L
5	1	3	1	1	8	3586	495	65	64	89	E.
5	1	3	1	1	9	4292	493	72	67	83	11
4	1	3	1	2	0	2384	668	1986	87	-1	
5	1	3	1	2	1	2384	672	141	82	74	Ztąd
5	1	3	1	2	2	2572	668	296	87	81	Opaliński
5	1	3	1	2	3	2918	693	50	39	89	w
5	1	3	1	2	4	2995	672	246	82	76	wstępie
5	1	3	1	2	5	3288	672	75	61	90	do
5	1	3	1	2	6	3413	681	182	73	82	satyr:
5	1	3	1	2	7	3642	670	330	84	71	Myślałem,
5	1	3	1	2	8	4020	669	151	83	86	coby
5	1	3	1	2	9	4205	671	165	83	80	pisać
4	1	3	1	3	0	2384	757	1987	86	-1	
5	1	3	1	3	1	2384	759	122	84	88	pod
5	1	3	1	3	2	2548	766	59	54	89	te
5	1	3	1	3	3	2653	779	271	64	79	czasy.w
5	1	3	1	3	4	2967	758	275	74	88	Polscze,
5	1	3	1	3	5	3309	779	102	61	88	czy
5	1	3	1	3	6	3458	758	269	75	83	sielanki,
5	1	3	1	3	7	3794	778	102	63	90	czy
5	1	3	1	3	8	3938	757	244	76	87	fraszki,
5	1	3	1	3	9	4230	759	141	82	89	czyli
4	1	3	1	4	0	2388	843	1978	87	-1	
5	1	3	1	4	1	2388	846	418	75	69	sowiźrzałów,
5	1	3	1	4	2	2852	845	397	75	89	Albertusów,
5	1	3	1	4	3	3296	865	103	63	90	czy
5	1	3	1	4	4	3442	844	185	86	89	bajki,
5	1	3	1	4	5	3676	867	101	61	90	czy
5	1	3	1	4	6	3804	844	90	63	87	też
5	1	3	1	4	7	3927	866	224	62	90	oracye.
5	1	3	1	4	8	4203	843	163	84	81	Opal.
4	1	3	1	5	0	2386	931	1984	86	-1	
5	1	3	1	5	1	2386	931	132	75	85	Sat,
5	1	3	1	5	2	2569	933	55	62	94	1.
5	1	3	1	5	3	2668	932	187	85	88	Kiedy
5	1	3	1	5	4	2899	955	35	41	93	o
5	1	3	1	5	5	2981	932	279	63	87	Tatarach
5	1	3	1	5	6	3304	933	207	83	70	slyszy,
5	1	3	1	5	7	3587	953	101	62	90	czy
